block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,6,active_set,False,0.4,1.0,1.0,-21.63370143300763,-142.93258322980438,-81.61997255128071,61.31261067852367,-121.55736203575786
A,400.0,0.05,6,active_set,False,0.6,1.0,1.0,-19.872788842450817,-141.17167063924757,-81.61997255128071,59.551698087966855,-121.55736203575786
A,400.0,0.05,6,active_set,False,0.8,1.0,1.0,-18.623401476367818,-139.92228327316457,-81.61997255128071,58.302310721883856,-121.55736203575786
A,400.0,0.05,6,active_set,False,0.95,1.0,1.0,-17.877065293398772,-139.17594709019554,-81.61997255128071,57.55597453891482,-121.55736203575786
A,400.0,0.05,6,active_set,False,0.2,2.0,1.0,-24.54130852583482,-142.93258322980438,-78.60967259464091,64.32291063516348,-118.54706207911805
A,400.0,0.05,6,active_set,False,0.4,2.0,1.0,-21.53100856919501,-139.92228327316457,-78.60967259464091,61.31261067852367,-118.54706207911805
A,400.0,0.05,6,active_set,False,0.6,2.0,1.0,-19.770095978638196,-138.16137068260775,-78.60967259464091,59.551698087966855,-118.54706207911805
A,400.0,0.05,6,active_set,False,0.8,2.0,1.0,-18.520708612555193,-136.91198331652475,-78.60967259464091,58.302310721883856,-118.54706207911805
A,400.0,0.05,6,active_set,False,0.95,2.0,1.0,-17.774372429586155,-136.16564713355572,-78.60967259464091,57.55597453891482,-118.54706207911805
A,400.0,0.05,6,orthogonal,False,0.2,1.0,1.0,-18.851941280646752,-145.9428831864442,-88.6096725946409,57.333210591803294,-128.30527392953562
A,400.0,0.05,6,orthogonal,False,0.4,1.0,1.0,-18.21926161060695,-142.93258322980438,-85.59937263800109,57.333210591803294,-125.44450692380198
A,400.0,0.05,6,orthogonal,False,0.6,1.0,1.0,-17.91524402567762,-141.17167063924757,-83.83846004744427,57.333210591803294,-123.73460509282347
A,400.0,0.05,6,orthogonal,False,0.8,1.0,1.0,-17.727023598941585,-139.92228327316457,-82.58907268136127,57.333210591803294,-122.51094956339477
A,400.0,0.05,6,orthogonal,False,0.95,1.0,1.0,-17.665527920106204,-139.17594709019554,-81.84273649839224,57.333210591803294,-121.77685556397864
A,400.0,0.05,6,orthogonal,False,0.2,2.0,1.0,-18.33929892610238,-142.93258322980438,-85.59937263800109,57.333210591803294,-125.2949739728958
A,400.0,0.05,6,orthogonal,False,0.4,2.0,1.0,-17.84205904666516,-139.92228327316457,-82.58907268136127,57.333210591803294,-122.43420696716217
A,400.0,0.05,6,orthogonal,False,0.6,2.0,1.0,-17.655063574894818,-138.16137068260775,-80.82816009080446,57.333210591803294,-120.72430513618366
A,400.0,0.05,6,orthogonal,False,0.8,2.0,1.0,-17.595100707661192,-136.91198331652475,-79.57877272472147,57.333210591803294,-119.50064960675496
A,400.0,0.05,6,orthogonal,False,0.95,2.0,1.0,-17.557295463652384,-136.16564713355572,-78.83243654175243,57.333210591803294,-118.76655560733883
B,400.0,0.05,6,active_set,False,0.8,1.0,1.0,-18.623401476367818,-139.92228327316457,-81.61997255128071,58.302310721883856,-121.55736203575786
B,400.0,0.05,6,active_set,True,0.8,1.0,1.0,-18.623401476367818,-139.92228327316457,-81.61997255128071,58.302310721883856,-121.55736203575786
B,400.0,0.05,6,active_set,True,0.8,1.0,0.5,-16.19721282434653,-139.92228327316457,-84.65390142715079,55.268381846013796,-124.5289015831054
A,400.0,0.05,7,active_set,False,0.2,1.0,1.0,-21.491419637081624,-143.94963453638036,-82.67275873595057,61.27687580042977,-122.5931294834637
A,400.0,0.05,7,active_set,False,0.4,1.0,1.0,-18.48111968044181,-140.93933457974055,-82.67275873595057,58.26657584378996,-122.5931294834637
A,400.0,0.05,7,active_set,False,0.6,1.0,1.0,-16.720207089884997,-139.17842198918373,-82.67275873595057,56.505663253233145,-122.5931294834637
A,400.0,0.05,7,active_set,False,0.8,1.0,1.0,-15.470819723801998,-137.92903462310073,-82.67275873595057,55.256275887150146,-122.5931294834637
A,400.0,0.05,7,active_set,False,0.95,1.0,1.0,-14.724483540832958,-137.18269844013167,-82.67275873595057,54.50993970418111,-122.5931294834637
A,400.0,0.05,7,active_set,False,0.2,2.0,1.0,-21.33404395013696,-140.93933457974055,-79.66245877931075,61.27687580042977,-119.58282952682389
