split,scene_id,boost_db,receiver,target,two_cpi_h1,two_cpi_h0,perfect_two_cpi_h1,perfect_two_cpi_h0,crossfit_map_h1,crossfit_map_h0
test,4,10.0,1,1,12.233729177709815,6.481938043267661,19.458620286104917,10.05049012008137,11.139894011341992,6.23941958678102
test,4,10.0,1,2,8.490930371904913,13.526225583734544,11.147776646646918,15.845276035053013,7.8455616578783784,12.7406147964508
test,4,10.0,2,0,12.152967870713177,12.87475234914337,12.716622787814508,11.374621150584439,12.301508279659656,12.898018029266568
test,4,10.0,2,1,26.069374394292762,12.891509370905531,26.227890005406778,12.099451549085448,25.678135269548868,13.324127369802333
test,4,10.0,2,2,17.623030168973855,8.695360804464297,22.423901229415453,9.219108419873312,18.315585043695616,8.894855600887611
test,4,10.0,3,0,16.029180442928585,12.835341895237775,17.244742947438326,13.356053206885203,16.03705233586926,12.663997595016014
test,4,10.0,3,1,12.661763505071358,7.874345685781678,15.54850282974487,9.603195979696304,12.5085091027935,7.082689789653099
test,4,10.0,3,2,12.82125056078199,16.650091513640678,16.493095698831112,16.8938491158314,12.979087217145606,16.153482830621677
test,4,30.0,0,0,15.209251077821477,13.187741442334943,15.15691615206288,13.632732073177825,15.156267142918107,13.62780377929263
test,4,30.0,0,1,11.44751116223917,13.013637736849246,13.306243695370398,13.19009486637056,11.359207715114561,13.825909156018561
test,4,30.0,0,2,13.897081637204469,12.708984378096192,26.302298164496776,12.371916123769033,13.540035525129259,12.719247656724455
test,4,30.0,1,0,19.10265775608749,19.355867007041056,18.898338099174936,19.117220395878732,19.145440051865222,19.372419675155996
test,4,30.0,1,1,12.645379602453561,17.980976279868145,19.161373313683324,16.812685107158124,12.764639212339198,16.43113931539337
test,4,30.0,1,2,7.712041544000276,7.8185281470797925,9.352082501021755,14.009688907233702,8.272779259812253,8.047622235887058
test,4,30.0,2,0,37.42736243904254,21.577650636152516,36.83774939603087,17.29663826725968,37.58443611995621,18.052148019857512
test,4,30.0,2,1,22.154156117414022,15.957667494977905,24.13532934245876,17.777256575408902,22.792189455896644,16.538443355338433
test,4,30.0,2,2,14.565751989322745,10.13278938443015,18.339888984779456,12.032867658675999,13.643526144910327,10.937154961595574
test,4,30.0,3,0,10.823978665228658,10.362220163796561,12.292644685448824,11.094683503101221,10.802536538368113,10.65997798466056
test,4,30.0,3,1,19.159275173306973,12.405650849011675,19.716830232628723,11.000751185355034,19.41285915436732,13.33457137600294
test,4,30.0,3,2,16.816478999037923,9.926996893457925,16.96424081058676,10.535783857326576,17.415717992647004,9.065842393058917
test,4,50.0,0,0,34.20757696463856,15.357769511700525,33.761063572902174,14.366560178356366,34.139106118700624,14.649445177195826
test,4,50.0,0,1,28.007328794110336,19.14153049414579,20.006159692741285,17.910441776450867,19.987144785479494,16.023572603041167
test,4,50.0,0,2,37.045759226479866,41.92472471067534,16.5502192390969,11.35199191301315,15.605459174813799,16.4900492021804
test,4,50.0,1,0,19.234149101177888,12.069814866143574,19.059678307883004,12.744605514440035,20.585487383307935,11.79600331007475
test,4,50.0,1,1,9.657445789946019,9.326051491174825,12.442622795507939,13.000576890170038,9.862743877729125,10.12299481679536
test,4,50.0,1,2,17.029663577895587,16.847300734434832,16.719082009113016,9.39315421024074,12.186201911496244,12.701650651739252
test,4,50.0,2,0,1150.6646830150814,1125.404505449421,20.364558329626078,8.131139621883142,20.21392865716533,8.888482544223757
test,4,50.0,2,1,51.16880054034213,29.6418890460679,27.58400922814832,10.446178098389625,25.209615408822035,11.955750416006662
test,4,50.0,2,2,32.67657643959076,23.686376906262055,9.888641794285032,9.065842729797344,8.59775925458079,6.914622447858709
test,4,50.0,3,0,34.24452614243181,23.27095678785539,21.08855891101779,17.236391091311837,20.066449114476725,16.378633078076398
test,4,50.0,3,1,23.602041808622786,29.288943051967443,15.437893894358528,18.551378589985557,14.063745547540954,19.753811795041898
test,4,50.0,3,2,20.736035827832417,18.510700272285447,16.0233781222368,15.180571935430752,14.84477868990411,14.090095625641979
