split,scene_id,scale,stat_h0,stat_h1,h0_inflation
test,50,0.75,13.549295728541633,10.200271823623442,2.7098591457083265
test,50,1.0,13.561355523747647,10.193262649879776,2.7122711047495294
test,50,1.5,13.575080051908751,10.18436555499834,2.71501601038175
test,50,2.0,13.58278437745853,10.17851722838001,2.716556875491706
test,51,0.5,8.114808786092704,6.510980310717936,1.6229617572185409
test,51,0.75,8.112010647118765,6.504141937977791,1.6224021294237532
test,51,1.0,8.110588569568517,6.498889866100152,1.6221177139137033
test,51,1.5,8.109614193469074,6.491206239512143,1.621922838693815
test,51,2.0,8.109633904359828,6.4858392882790215,1.6219267808719657
test,52,0.5,1.7781927468291294,7.445428344349615,0.3556385493658259
test,52,0.75,1.8521570945071895,7.429776582596361,0.3704314189014379
test,52,1.0,1.9012672383839146,7.424038797146301,0.38025344767678293
test,52,1.5,1.9642641883492793,7.421337388122006,0.39285283766985585
test,52,2.0,2.0036816383772456,7.421879983244376,0.4007363276754491
test,53,0.5,8.118466803215972,8.831053926145294,1.6236933606431943
test,53,0.75,8.066739124646737,8.751855022064344,1.6133478249293476
test,53,1.0,8.033996775140345,8.69395368573582,1.606799355028069
test,53,1.5,7.993073652945855,8.618014294896826,1.598614730589171
test,53,2.0,7.967245833303951,8.57187273527187,1.5934491666607902
test,54,0.5,9.55664687996093,4.1520258423021215,1.9113293759921859
test,54,0.75,9.55415641313492,4.105052355990386,1.9108312826269842
test,54,1.0,9.551685646382321,4.068011246687963,1.9103371292764642
test,54,1.5,9.543024866588729,4.0118839472576004,1.9086049733177457
test,54,2.0,9.530193601747836,3.9707205551850455,1.9060387203495672
test,55,0.5,5.686500203877138,9.367814948024362,1.1373000407754277
test,55,0.75,5.685884311368877,9.343438273625749,1.1371768622737755
test,55,1.0,5.68441245411615,9.321569484211858,1.13688249082323
test,55,1.5,5.681726833803616,9.285741956729689,1.136345366760723
test,55,2.0,5.679844232853767,9.258065766527883,1.1359688465707534
test,56,0.5,12.432117054787167,7.192661581177704,2.4864234109574332
test,56,0.75,12.458664947461907,7.22402196189824,2.491732989492381
test,56,1.0,12.47443007840868,7.238981516634954,2.494886015681736
test,56,1.5,12.493137674360845,7.250542572663597,2.498627534872169
test,56,2.0,12.50490438285899,7.25282500534876,2.500980876571798
test,57,0.5,9.16946105102637,11.687127713190547,1.8338922102052742
test,57,0.75,9.013735900472938,9.526681840531278,1.8027471800945876
test,57,1.0,8.901647710790659,8.398316032897737,1.7803295421581318
test,57,1.5,8.747252963331574,7.199853048356044,1.7494505926663149
test,57,2.0,8.645574638890267,6.561951856887022,1.7291149277780533
test,58,0.5,5.548150820092365,11.372366149247771,1.1096301640184731
test,58,0.75,5.50502572096515,11.396598135495795,1.10100514419303
test,58,1.0,5.479407325229689,11.432846832876447,1.0958814650459376
test,58,1.5,5.451493147956638,11.498951244941301,1.0902986295913277
test,58,2.0,5.437975334755795,11.544926307355523,1.0875950669511592
test,59,0.5,5.331889294211428,9.47501112705463,1.0663778588422856
test,59,0.75,5.327828888575298,9.456932619688107,1.0655657777150596
test,59,1.0,5.324593670825547,9.44693116478299,1.0649187341651094
test,59,1.5,5.319611184790358,9.436120017814842,1.0639222369580716
test,59,2.0,5.315793308218341,9.430347817527334,1.0631586616436681
test,60,0.5,7.117776935744882,10.218680670009483,1.4235553871489763
test,60,0.75,7.5991341105395716,9.906372528293648,1.5198268221079143
test,60,1.0,7.838818122384893,9.663056733546007,1.5677636244769786
test,60,1.5,8.047723957127351,9.293871613887323,1.6095447914254701
test,60,2.0,8.118391342427415,9.059399432777171,1.6236782684854831
test,61,0.5,5.449286183462943,6.072949898599205,1.0898572366925887
test,61,0.75,5.438208806252051,6.053418882692004,1.0876417612504103
test,61,1.0,5.43221031238571,6.040335317453442,1.086442062477142
test,61,1.5,5.425685261942446,6.02189484340418,1.0851370523884891
test,61,2.0,5.421987277623953,6.008351176702124,1.0843974555247906
test,62,0.5,9.0863312755151,5.61844220759445,1.81726625510302
test,62,0.75,9.016982895744462,5.621249417321363,1.8033965791488924
test,62,1.0,8.972881729534798,5.6207430408582155,1.7945763459069597
test,62,1.5,8.917475322524627,5.61901784494432,1.7834950645049255
test,62,2.0,8.882482180597567,5.61819355775708,1.7764964361195132
test,63,0.5,4.466669320188987,3.849294574563382,0.8933338640377974
test,63,0.75,4.420462337325149,3.8099429158457303,0.8840924674650298
test,63,1.0,4.387300489870811,3.785818480227884,0.8774600979741622
test,63,1.5,4.342394425538554,3.7581115498934716,0.8684788851077109
test,63,2.0,4.3128735064145385,3.7430760321569156,0.8625747012829077
test,64,0.5,12.85928339978418,7.159824814615455,2.571856679956836
test,64,0.75,11.532625382842514,6.5329765042818995,2.306525076568503
test,64,1.0,10.611160190968775,6.1693111081552345,2.122232038193755
test,64,1.5,9.431624432538927,5.765555480932938,1.8863248865077853
test,64,2.0,8.712453564069124,5.548718573040512,1.7424907128138247
test,65,0.5,3.9828252891981446,6.663633059453654,0.7965650578396289
test,65,0.75,3.969222130193423,6.675988164867907,0.7938444260386845
test,65,1.0,3.9579776454375724,6.683274332713184,0.7915955290875145
test,65,1.5,3.9396439046692557,6.690302043895328,0.7879287809338511
test,65,2.0,3.9253362633197812,6.692363303789913,0.7850672526639563
test,66,0.5,4.526486048830189,6.51209940060651,0.9052972097660378
test,66,0.75,4.522449368222125,6.513963589528936,0.9044898736444249
test,66,1.0,4.519141095673594,6.515662954850741,0.9038282191347188
test,66,1.5,4.51780007338656,6.518372761750157,0.9035600146773121
test,66,2.0,4.517958692023496,6.5203987001534065,0.9035917384046993
test,67,0.5,4.851329483891721,7.356130535617841,0.9702658967783442
test,67,0.75,4.852177670199913,7.3247507636525135,0.9704355340399825
test,67,1.0,4.854433139632167,7.305969071133392,0.9708866279264334
test,67,1.5,4.861639731041831,7.284882788169803,0.9723279462083662
test,67,2.0,4.870394524403624,7.273592891691259,0.9740789048807248
