receiver,illuminator,target,rho,trial,m_rx,axis
2,14,0,0.8733038654154248,0,8,0
2,14,1,0.9930546225906712,0,8,0
2,14,2,0.9917521683680298,0,8,0
2,14,3,0.24051872269728924,0,8,0
2,14,4,0.9785768367640134,0,8,0
2,14,5,0.9723736104525467,0,8,0
2,14,6,0.9400670705468279,0,8,0
2,14,7,0.9929934947399823,0,8,0
2,14,8,0.31580919186487943,0,8,0
2,14,9,0.116228506083767,0,8,0
3,0,0,0.9206318886191673,0,8,0
3,0,1,0.6778186316820591,0,8,0
3,0,2,0.8355504221473304,0,8,0
3,0,3,0.9260637406761782,0,8,0
3,0,4,0.512884348644745,0,8,0
3,0,5,0.9600913688106447,0,8,0
3,0,6,0.8976705847126389,0,8,0
3,0,7,0.589952207698452,0,8,0
3,0,8,0.5882793162728326,0,8,0
3,0,9,0.0064098135826933245,0,8,0
3,1,0,0.9044820493252254,0,8,0
3,1,1,0.058274472729160864,0,8,0
3,1,2,0.04362241092007513,0,8,0
3,1,3,0.4741429921952942,0,8,0
3,1,4,0.3098339280067488,0,8,0
3,1,5,0.99662194376744,0,8,0
3,1,6,0.08938624353686397,0,8,0
3,1,7,0.9273921674310692,0,8,0
3,1,8,0.464759186300274,0,8,0
3,1,9,0.8832360841501965,0,8,0
3,2,0,0.6050428922148985,0,8,0
3,2,1,0.7745193350606256,0,8,0
3,2,2,0.9784827760403131,0,8,0
3,2,3,0.6519947307709217,0,8,0
3,2,4,0.20503877866154518,0,8,0
3,2,5,0.8765729810695281,0,8,0
3,2,6,0.5695964934639703,0,8,0
3,2,7,0.0,0,8,0
3,2,8,0.17304639894207918,0,8,0
3,2,9,0.9005060653152646,0,8,0
3,4,0,0.7453584435712857,0,8,0
3,4,1,0.5805534630189132,0,8,0
3,4,2,0.9447239099489493,0,8,0
3,4,3,0.8285733923743177,0,8,0
3,4,4,0.5722189067637525,0,8,0
3,4,5,0.9888542627330151,0,8,0
3,4,6,0.8104152258881252,0,8,0
