trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
63,0,sense_sinr_budgeted,1.0,0.056666666666666664,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4986556000076234
64,0,proposed_c2f_adaptive_pd,0.9,0.03666666666666667,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.9333333333333333,1.5708027000073344
64,0,sense_sinr_budgeted,1.0,0.07,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.5708218000363559
65,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3332195000257343
65,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3332383000524715
66,0,proposed_c2f_adaptive_pd,1.0,0.03,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3772477000020444
66,0,sense_sinr_budgeted,1.0,0.056666666666666664,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.3772665000287816
67,0,proposed_c2f_adaptive_pd,1.0,0.07,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3819919000379741
67,0,sense_sinr_budgeted,1.0,0.09666666666666666,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3820106000639498
68,0,proposed_c2f_adaptive_pd,1.0,0.05,0,16,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,2.0682828000281006
68,0,sense_sinr_budgeted,1.0,0.08333333333333333,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,2.068301700055599
69,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.6831002000253648
69,0,sense_sinr_budgeted,1.0,0.04666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.683119000052102
70,0,proposed_c2f_adaptive_pd,0.9,0.04,0,10,0.0,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",0.9,1.3443122999742627
70,0,sense_sinr_budgeted,1.0,0.043333333333333335,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.3443312000017613
71,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,13,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.6351807999890298
71,0,sense_sinr_budgeted,1.0,0.06333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.635199600015767
72,0,proposed_c2f_adaptive_pd,0.9,0.03333333333333333,0,10,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9,1.3939489999320358
72,0,sense_sinr_budgeted,1.0,0.06333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9166666666666666,1.3939674999564886
73,0,proposed_c2f_adaptive_pd,0.9,0.07666666666666666,0,10,0.0,0.0,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3363945999881253
73,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9833333333333333,1.3364340000553057
74,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4689251000527292
74,0,sense_sinr_budgeted,1.0,0.06333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4689627999905497
75,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4149790999945253
75,0,sense_sinr_budgeted,1.0,0.056666666666666664,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4149979999056086
76,0,proposed_c2f_adaptive_pd,1.0,0.02666666666666667,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.7784504999872297
76,0,sense_sinr_budgeted,1.0,0.02666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.7784692000132054
77,0,proposed_c2f_adaptive_pd,1.0,0.04,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.4992930000880733
77,0,sense_sinr_budgeted,1.0,0.03666666666666667,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9666666666666667,1.4993123000022024
78,0,proposed_c2f_adaptive_pd,1.0,0.03,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2990824000444263
78,0,sense_sinr_budgeted,1.0,0.023333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2991008000681177
